ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D121,3,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.4401875997073253,1.693032644183836e-17,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D121,4,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.5220480634288525,2.4863125771611395e-16,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D121,5,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.487300435413643,6.087161383378673e-21,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D169,1,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.5406685938418357,1.8997432708077083e-24,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D169,2,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,1.1335702738143474e-24,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D169,3,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,1.9219809497363274e-24,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D169,4,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,2.7089003131014977e-19,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,D169,5,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,2.666647153287017e-25,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,Vit,1,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.4734688553299188,2.9441000284334616e-20,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,Vit,2,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,1.522416754640969e-15,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,Vit,3,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.4898553419136609,1.0741370687670021e-10,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,Vit,4,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.49930729647710775,8.15806875047596e-12,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,Vit,5,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,4.053055544699796e-15,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R18,1,0.8347107438016529,0.7454702777537423,0.6701411795751419,0.6943286598459012,0.8477911453897731,0.15690374544868957,37,0.9416809605488851,0.3986013986013986
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R18,2,0.8464187327823691,0.7658829972421617,0.7038197651405198,0.726704383840754,0.8443666110904533,0.12602597499788923,35,0.9391080617495712,0.46853146853146854
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R18,3,0.8471074380165289,0.7666336878555529,0.7068874521704711,0.7292455524383893,0.8372281663448045,0.11814095886919677,25,0.9382504288164666,0.4755244755244755
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R18,4,0.8353994490358126,0.7446239520225201,0.6798060430135902,0.7022402255584261,0.794626899686934,0.11263182778151852,35,0.9365351629502573,0.4230769230769231
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R18,5,0.8395316804407713,0.7485798041183003,0.7087676474468927,0.7250212340541398,0.8520673151890991,0.15257202912565065,37,0.9245283018867925,0.493006993006993
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R34,1,0.8353994490358126,0.7398945016547113,0.7141113603377753,0.7253966985375983,0.8423724645851575,0.125270969479173,31,0.9142367066895368,0.513986013986014
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R34,2,0.8601928374655647,0.7900043329000433,0.7348264942604565,0.7567006054502907,0.8545862370905253,0.12364952998431804,33,0.9416809605488851,0.527972027972028
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R34,3,0.8512396694214877,0.7745571658615137,0.7147380920965827,0.7374075661772586,0.8407711499478222,0.10210237918706164,26,0.9399656946826758,0.48951048951048953
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R34,4,0.8477961432506887,0.7736572890025575,0.694121915820029,0.7209302325581395,0.8608565533951468,0.13783458980203703,30,0.9476843910806175,0.4405594405594406
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R34,5,0.8457300275482094,0.7756731197151758,0.6783216783216783,0.7075896790434235,0.8463727524619464,0.18836586842348013,26,0.9545454545454546,0.4020979020979021
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R50,1,0.8395316804407713,0.7661625081133301,0.6586291067423143,0.687362482499873,0.8138186856025621,0.18311196757935727,35,0.9571183533447685,0.36013986013986016
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R50,2,0.8292011019283747,0.7309941520467835,0.6719883889695211,0.6925619834710743,0.8096204824335184,0.1374020409824334,38,0.9313893653516295,0.4125874125874126
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R50,3,0.8491735537190083,0.7874222399699785,0.6791463253727404,0.7104670124804353,0.8117735609159279,0.16654583629032618,30,0.9596912521440824,0.3986013986013986
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R50,4,0.8195592286501377,0.710501508295626,0.6607072173109909,0.6783862840911012,0.7686370233540043,0.14719423115673191,29,0.9228130360205832,0.3986013986013986
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R50,5,0.8257575757575758,0.7350778386451344,0.6236640717772793,0.6471852595285316,0.8040038863366479,0.19319887643274394,26,0.9571183533447685,0.2902097902097902
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R101,1,0.8340220385674931,0.7445066639750381,0.6670734925451907,0.6914547209988229,0.8072095143278677,0.17085386041500433,32,0.9425385934819898,0.3916083916083916
224,none,reduce_on_plateau,None,Adam,0.01,TCEL,R101,2,0.831267217630854,0.7491027741401699,0.6363306504815939,0.6623496191538334,0.7933164605548826,0.17371143962042304,50,0.9579759862778731,0.3146853146853147
