Model,rmv_inf_grad,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
D169,False,4,0.9097796143250688,0.8631372638914359,0.8640186472955389,0.8635768020604198,0.9423461928438275,0.05174957550242683,10,0.9425587467362925,0.7854785478547854
D169,False,5,0.9097796143250688,0.8610661268556006,0.8688786633232514,0.8648808191882705,0.9349872324047026,0.05306703453214877,12,0.939077458659704,0.7986798679867987
D201,True,1,0.9159779614325069,0.8733991242628828,0.8715801084024851,0.8724848833861215,0.935863299123646,0.04514169068247437,11,0.9477806788511749,0.7953795379537953
D201,True,2,0.9084022038567493,0.8585489124959422,0.8680083413041043,0.863143027427947,0.945373649636504,0.043151470314642865,12,0.9373368146214099,0.7986798679867987
D201,True,3,0.9118457300275482,0.8654339075146154,0.8689691423450439,0.8671831006045707,0.9460515242124734,0.04885939577703427,11,0.9425587467362925,0.7953795379537953
D201,True,4,0.9201101928374655,0.8869081084695077,0.8656860464114297,0.8756849315068493,0.9403298032153085,0.04679885596609876,11,0.959094865100087,0.7722772277227723
D201,True,5,0.9269972451790633,0.896243178640689,0.8785426845556619,0.8869796623312538,0.9497855790801013,0.04032792126516187,11,0.9617058311575283,0.7953795379537953
D201,False,1,0.9146005509641874,0.8674372827407129,0.8779998104249067,0.8725547656057556,0.9492139814503644,0.043777977644914236,12,0.9408181026979983,0.8151815181518152
D201,False,2,0.9084022038567493,0.8595135868030055,0.865578333290248,0.8624905029468457,0.9413925726776333,0.051407980178629624,10,0.939077458659704,0.7920792079207921
D201,False,3,0.912534435261708,0.8651484480431848,0.8730493153754018,0.8690065957016058,0.9470166337782603,0.044564883633034486,12,0.9408181026979983,0.8052805280528053
D201,False,4,0.9159779614325069,0.8787804988048528,0.8618600763470603,0.869919988720877,0.9442563055261141,0.054500711387423045,9,0.9547432550043516,0.768976897689769
D201,False,5,0.9104683195592287,0.8568136152546207,0.8851088764228903,0.8697272526501767,0.9448997119033052,0.0612763105766108,8,0.9286335944299391,0.8415841584158416
Eff_b0,True,1,0.9118457300275482,0.8744144689198727,0.8519590862480504,0.862471918094071,0.9375867090625511,0.05218323885623517,12,0.9547432550043516,0.7491749174917491
Eff_b0,True,2,0.8891184573002755,0.8257433783108445,0.8594688450568295,0.8406139484271866,0.9284899769350303,0.07061663344852004,10,0.9103568320278503,0.8085808580858086
